scenario,budget,risk_label,rho_min,rho_max,risk_min
Town05_Highway2,25.0,medium,109.35375328371684,98273.75874216123,0.003
Town05_Highway2,25.0,very,130.1978201660496,1830.8679958478228,0.148983753093625
Town05_Highway3,10.0,high,447.11549690219,2693.4042681856517,0.1348569084658374
Town05_Highway3,10.0,low,465.3087568709987,98358.05128991991,0.003
Town05_Highway3,10.0,medium,452.9151273652118,98358.05143143715,0.003
Town05_Highway3,10.0,very,439.28939219406004,1585.8698469201786,0.2336466671686449
Town05_Highway3,15.0,high,302.57186661481575,98358.05106363121,0.005
Town05_Highway3,15.0,low,310.19335001389385,98358.05165633632,0.003
Town05_Highway3,15.0,medium,310.05272490833863,98358.05165633632,0.003
Town05_Highway3,15.0,very,296.8751504513789,635.6101407571274,0.6759253195807006
Town05_Highway3,20.0,high,231.16612400491692,1277.3451825534175,0.4329836328575506
Town05_Highway3,20.0,low,219.3862322301141,98358.05170489944,0.003
Town05_Highway3,20.0,medium,236.6856704631874,98355.2684886909,0.004
Town05_Highway3,20.0,very,222.63768078285008,549.0900080226414,0.4967666165019061
Town05_Highway3,25.0,high,177.54057958647618,1856.1903065375966,0.1589676173478959
Town05_Highway3,25.0,low,251.7032972525869,98358.05143143715,0.003
Town05_Highway3,25.0,medium,189.28768750431846,98358.05087494043,0.003
Town05_Highway3,25.0,very,182.77612216719666,859.5161120363076,0.3173524982494915
