scenario,budget,risk_label,rho_min,rho_min_90,rho_min_95,rho_max_90,rho_max_95,rho_max,risk_min,risk_min_90,risk_min_95,risk_max_90,risk_max_95,risk_max
Town05_Highway2,20.0,very,123.20343916883428,151.85495809904708,140.93106670973827,280.43520900557206,398.1020758950221,1077.3338444562705,0.2531894703243809,1.3727583397516563,1.135452361139329,3.903436767332854,4.175734334670092,5.234558988082798
Town05_Highway2,25.0,high,130.21863461045336,168.66976823921658,154.0875117427569,423.34038147809554,650.968959729769,98358.05170489944,0.003,1.0729004667783455,0.4855293771696256,3.3364471497797594,3.580950391495452,3.962905344231068
Town05_Highway2,25.0,low,193.11524394266496,265.5048934874262,237.82435496541606,98199.9997984572,98286.56612681717,98358.05126065602,0.003,0.004,0.004,1.6568073118585747,2.2244776793682792,2.84189477993992
Town05_Highway2,25.0,medium,109.35375328371684,202.36699729407698,185.56456363133327,1144.1107107906553,8457.089011635615,98273.75874216123,0.003,0.37686511851138144,0.12307946743159581,2.736416648935163,2.8572914905188598,3.606670285547001
Town05_Highway2,25.0,very,130.1978201660496,148.16975553135669,142.06657480037026,300.4918801313911,331.1675141915406,1830.8679958478228,0.148983753093625,1.477999434276198,1.0406538965378116,3.918888484638202,4.170859242207919,4.841740551937889
Town05_Highway3,10.0,high,447.11549690219,467.1888020258502,462.57125868117424,644.7084153647157,940.7031111066204,2693.4042681856517,0.1348569084658374,0.5181265110215219,0.40222796007646333,1.4374632519724346,1.4511599194535187,1.45856095239873
Town05_Highway3,10.0,low,465.3087568709987,507.7441361388577,488.30071521698886,98181.16480497617,98314.53793514802,98358.05128991991,0.003,0.006,0.003,1.2046712690254469,1.3448475575974805,1.45727105312759
Town05_Highway3,10.0,medium,452.9151273652118,475.6787294858876,472.15544217069606,1053.8868321043085,1286.5213088530259,98358.05143143715,0.003,0.49052332576799423,0.2825469822578631,1.404653815120896,1.4276219603044358,1.4598969635535288
Town05_Highway3,10.0,very,439.28939219406004,460.16991056146475,455.6258093049781,555.0790982544889,717.2112385018137,1585.8698469201786,0.2336466671686449,0.5415469731360693,0.4129550251009806,1.4447510559146577,1.453799076126164,1.4587244108984647
Town05_Highway3,15.0,high,302.57186661481575,314.950752467436,311.5482339995204,419.0431905306921,527.2398066832607,98358.05106363121,0.005,0.9357490774903084,0.7559571085936095,2.1682386228070154,2.1781988623916986,2.1892820967956474
Town05_Highway3,15.0,low,310.19335001389385,363.56775113397777,330.4349815933473,98030.61483300487,98355.2684886909,98358.05165633632,0.003,0.005,0.004,1.7063602496881134,1.8897986074944322,2.173552570333746
Town05_Highway3,15.0,medium,310.05272490833863,319.78662907936575,315.51447253095625,940.16696601019,1284.87108478683,98358.05165633632,0.003,0.5570835980586307,0.38231865422636635,2.0887586435198897,2.166779704519821,2.1899459338546947
Town05_Highway3,15.0,very,296.8751504513789,312.3337371679634,308.400499147921,362.4379103385923,389.13594584511867,635.6101407571274,0.6759253195807006,1.006623304887054,0.8532239794710186,2.172193361694027,2.1821629794907516,2.188625300515062
Town05_Highway3,20.0,high,231.16612400491692,238.21775392943704,236.8133399251097,389.1697531104171,459.9893378056107,1277.3451825534175,0.4329836328575506,1.1646272233659742,0.9841706376210408,2.815520476606485,2.881267750408608,2.9143389683053
Town05_Highway3,20.0,low,219.3862322301141,345.2065717876738,285.33924964560674,98174.07029291394,98239.81799635162,98358.05170489944,0.003,0.006,0.005,1.785045793836139,2.0788548625382632,2.794815349027799
Town05_Highway3,20.0,medium,236.6856704631874,248.46947167956196,243.32193731028565,873.1161746293747,1463.1860337972594,98355.2684886909,0.004,0.6474814916271836,0.4002542888228287,2.5347920390539462,2.7705370105803215,2.9035468012702865
Town05_Highway3,20.0,very,222.63768078285008,236.14992154665381,234.22208785151653,306.50661067454735,342.20752031635317,549.0900080226414,0.4967666165019061,1.4858749506700795,1.1585514014021616,2.8834131180691616,2.900289588911746,2.9199129616342354
Town05_Highway3,25.0,high,177.54057958647618,193.0037465442486,189.83006186107988,432.84609570755373,592.4809081586297,1856.1903065375966,0.1589676173478959,1.1512668472707455,0.8466042992749753,3.4704472401785993,3.5714097569356515,3.633154378416906
Town05_Highway3,25.0,low,251.7032972525869,360.9453495479663,319.2454248658746,97920.41550515493,98262.3444648544,98358.05143143715,0.003,0.007,0.00495,1.702382792761387,1.8934641197290583,2.5795556296976616
Town05_Highway3,25.0,medium,189.28768750431846,218.14455900456494,204.4512977521077,947.0012621476503,1400.2894765058768,98358.05087494043,0.003,0.5517823583204733,0.36845793772744534,2.7760292895674517,3.065563624652022,3.6206082127666894
Town05_Highway3,25.0,very,182.77612216719666,190.27206845007504,189.21394442519372,295.0994843819236,338.4396355837813,859.5161120363076,0.3173524982494915,1.4803467258298413,1.1810644916310933,3.541898040568278,3.59719827038236,3.645568375766855
